field0	field1	field2	field3	field4				
427	PetBattle(fallback) - Event Move Trap Selected	"--------------------------------------------------------------------------------
-- MOVE (trap) SELECTED
function EventMoveTrapSelected()

	-- print(\Move Selected: Trap\"")"						
536	[1] PetBattle(fallback) - Functions	"return attackRadius
end

"	331	0				
538	Jade Forest - Stay a While Scene - Init - JSB	"
-- spawn cho
local choCreatureID = 55768
cho = SpawnActor( choCreatureID, 2130.74, -474.679, 392.885, 29, 1.0, false )
cho:PlayLoopingFullBodyAnim(Animations.SitGround)

-- spawn Mist
local mistModel = \world\\environment\\doodad\\generaldoodads\\steamclouds\\generic_steam_cloud_deepholm.m2\"""						
541	Jade Forest - Stay a While Scene - Mogu - JSB	"
WaitForTrigger( \moguAppear\"" )"						
542	Great Wall - Mantid Army - Init 1	"-- spawn mantid
local mantidCreatureID = 56890
local mantidCreatureID2 = 61213



mantid1 = SpawnActor( mantidCreatureID, 1106.48, 2541.46, 325.392, 270.609, 1.0, true )
mantid2 = SpawnActor( mantidCreatureID, 1116.48, 2541.46, 325.392, 270.609, 1."	0	545				
543	Great Wall - Mantid Army - Init 2	"-- spawn mantid
local mantidCreatureID = 56890
local mantidCreatureID2 = 61213

mantid1 = SpawnActor( mantidCreatureID, 1061.51, 2554.46, 305.392, 270.609, 1.0, true )
mantid2 = SpawnActor( mantidCreatureID, 1051.51, 2554.46, 305.392, 270.609, 1.0, t"	0	546				
544	Great Wall - Mantid Army - Init 3	"-- spawn mantid
local mantidCreatureID = 56890
local mantidCreatureID2 = 61213

mantid1 = SpawnActor( mantidCreatureID, 995.17, 2554.46, 300.392, 270.609, 1.0, true )
mantid2 = SpawnActor( mantidCreatureID, 980.17, 2554.46, 300.392, 270.609, 1.0, tru"	0	0				
545	[1] Great Wall - Mantid Army - Init 1	"mantidCreatureID, 1106.48, 2401.46, 328.244, 279.294, 1.0, true )
mantid44 = SpawnActor( mantidCreatureID, 1116.48, 2401.46, 328.198, 279.294, 1.0, true )
mantid45 = SpawnActor( mantidCreatureID, 1126.48, 2401.46, 328.108, 279.294, 1.0, true )
mantid46 = SpawnActor( mantidCreatureID, 1106.48, 2391.46, 327.811, 279.294, 1.0, true )
mantid47 = SpawnActor( mantidCreatureID2, 1116.48, 2391.46, 327.493, 279.294, 1.0, true )
mantid48 = SpawnActor( mantidCreatureID, 1126.48, 2391.46, 327.196, 279.294, 1.0, true )"	542	0				
546	[1] Great Wall - Mantid Army - Init 2	"mantidCreatureID, 1061.51, 2401.46, 305.244, 279.294, 1.0, true )
mantid44 = SpawnActor( mantidCreatureID, 1051.51, 2401.46, 305.198, 279.294, 1.0, true )
mantid45 = SpawnActor( mantidCreatureID, 1041.51, 2401.46, 305.108, 279.294, 1.0, true )
mantid46 = SpawnActor( mantidCreatureID, 1061.51, 2391.46, 305.811, 279.294, 1.0, true )
mantid47 = SpawnActor( mantidCreatureID2, 1051.51, 2391.46, 305.493, 279.294, 1.0, true )
mantid48 = SpawnActor( mantidCreatureID, 1041.51, 2391.46, 305.196, 279.294, 1.0, true )
"	543	0				
548	Great Wall - Mantid Army - Init 4	"-- spawn mantid
local mantidCreatureID = 56890
local mantidCreatureID2 = 61213

mantid1 = SpawnActor( mantidCreatureID, 876.724, 2554.46, 311.392, 270.609, 1.0, true )
mantid2 = SpawnActor( mantidCreatureID2, 856.724, 2554.46, 311.392, 270.609, 1.0, "	0	0				
550	Great Wall - Mantid Army - Init 5	"-- spawn mantid
local mantidCreatureID = 63560
local mantidCreatureID2 = 63561

mantid1 = SpawnActor( mantidCreatureID, 776.724, 2554.46, 311.392, 270.609, 1.0, true )
mantid2 = SpawnActor( mantidCreatureID2, 756.724, 2554.46, 311.392, 270.609, 1.0, "	0	0				
551	[1] PetBattle(fallback) - Init Player	"			end

					pet.actor:Fade(targetAlpha, fadeInTime)
				end
			end
		end
	end

	-- wait until faded in
	if fadeInTime > 0 then
		scene:WaitTimer( fadeInTime )
	end

	-- make everything interactible again
	for playerID, player in pairs( allPlayers ) do
		if (player.isWeather == false) then
			for slot, pet in pairs ( player.pets ) do
				if (pet.isPad == false) then
					pet.actor:SetInteractible( true )
				end
			end
		end
	end

end
"	332	0				
554	[1] PetBattle(fallback) - Effect Processing	"(effectGroup.firstEffect.abilityVisualID) then
		effectVisual = petAbilityVisuals[effectGroup.firstEffect.abilityVisualID]
	end
	local processed = false
	if (effectVisual and effectVisual.scriptFunction) then
		if ( effectVisual.scriptFunction( effectGroup ) ) then
			processed = true
		end
	end

	-- fallback handling
	if (processed ~= true) then
		for index, effectResult in pairs(effectGroup.results) do
			StartEffectProcessing(effectResult)
			
			ProcessRoundResult(effectResult)
			
			SignalEffectProcessed()

			if (effectResult.procGroup) then
				ProcessRoundTurnGroup(effectResult.procGroup)
			end
		end
	end
end

--------------------------------------------------------------------------------
-- Process an individula Round Effect Result
function ProcessRoundResult(event)

	local eventType = event.eventType
	local effectType = event.effectType

	if not (eventType == PetBattleEvent.RoundEffect) then
		return
	end

	if (debugOn == true) then
		print(\-     Processing Result \"" .. event.instanceID)"						
556	Valley of the Four Winds - Stoneplow Finale - Init Friends - PRK	"paradeSpeed = 6

-- wall cap
local wallModel = \WORLD\\EXPANSION04\\DOODADS\\VALEOFETERNALBLOSSOMS\\GREATWALL_CAP\\PA_GreatWall_Cap_01.M2\"""						
560	PetBattle - Init Player	"
allPlayers = { }

function InitTeam(playerID, team)

	-- save the team
	allPlayers[playerID] = team

	local padRadius = -idleRadius
	if (playerID == PetBattlePlayerID.Weather) then
		padRadius = 0
		team.isWeather = true
	else
		team.isWeather = false
	end

	-- spawn a pad for this team
	local padPos = BuildVector(team.teamFacing, padRadius, 0)
	local padTransform = Transform:New(padPos, team.teamFacing)
	local padCreateData = ActorCreateData:NewModel(\pad\"", padModel, padTransform, padScale*battleScale)"						
561	[1] PetBattle - Init Player	"pet
						targetAlpha = GetAlpha(pet)
					end

					pet.actor:Fade(targetAlpha, fadeInTime)
				end
			end
		end
	end

	-- wait until faded in
	if fadeInTime > 0 then
		scene:WaitTimer( fadeInTime )
	end

	-- make everything interactible again
	for playerID, player in pairs( allPlayers ) do
		if (player.isWeather == false) then
			for slot, pet in pairs ( player.pets ) do
				if (pet.isPad == false) then
					pet.actor:SetInteractible( true )
				end
			end
		end
	end

end
"	560	0				
562	PetBattle - Play Spell Effect	"
--------------------------------------------------------------------------------
function SpellEffectPlayShared(effect, abilityVisualID)
	local casterPlayerID = effect.casterPlayerID
	local casterPlayer = GetTeamByIndex(casterPlayerID)
	local casterCastingPet = casterPlayer.pets[effect.casterPetSlot]

	local casterFrontPet = casterPlayer.pets[casterPlayer.activePet]

	local targetPlayerID = targetData.playerID;
	local targetPlayer = GetTeamByIndex(targetPlayerID)
	local targetPet = targetPlayer.pets[targetData.petSlot]

	local abilityVisual = petAbilityVisuals[abilityVisualID]
	if not abilityVisual then
		return casterCastingPet
	end

	local casterCastingPet, spellVisualID = PerformSpellVisual(casterCastingPet, abilityVisualID, targetPet)

	return casterCastingPet, spellVisualID 
end

--------------------------------------------------------------------------------
function MovePetToFrontLines(pet, opponent, range )
--[[
	-- Move pet if its the current pet
	if ( (casterPlayer.activePet == effect.casterPetSlot) and (not casterFrontPet.deathAnimKit) ) then 
		MovePetToFrontLines(casterFrontPet, opponentFrontPet, abilityVisual.range )
	end

	-- Wait for opponent
	WaitForOpponentPet(opponentFrontPet)
]]--
	PetMoveToAttackPosition(pet, opponent, range );
end

function WaitForOpponentPet(opponent)
	-- make sure the opponent pet is at the correct radius
	if not opponent.deathAnimKit then
		WaitMoveToRadius(opponent, readyRadius)
	end
end

function PerformSpellVisual(casterCastingPet, abilityVisualID, targetPet)
	--
	-- Actually cast
	--	

	local abilityVisual = petAbilityVisuals[abilityVisualID]
	if not abilityVisual then
		return casterCastingPet
	end
	local spellVisualID = abilityVisual.spellVisualID

	if (not abilityVisualID) or (abilityVisualID == 0) then
		print(\WARNING: no abilityVisual for PerformSpellVisual\"")"						
563	PetBattle - Result - Swap	"--------------------------------------------------------------------------------
-- SWAP
function EffectSwap(teamId, petIndex)

--	ResetActivePets()
	
	local team = GetTeamByIndex(teamId)
	if team.activePet == petIndex then
		return
	end

	loca"	0	0				
564	PetBattle - Result - Set Health	"
--------------------------------------------------------------------------------
-- SET HEALTH

function EffectSetHealth(effect, dontWait)

	local abilityVisualID = effect.abilityVisualID
	local casterCastingPet
	local spellVisualID
	casterCastingPet, spellVisualID = SpellEffectPlayShared(effect, abilityVisualID)
	if (not abilityVisualID) or (abilityVisualID == 0) then
		print(\WARNING: no abilityVisual for SetHealth\"")"						
568	PetBattle - 2. Pre-Playback Processing	"--------------------------------------------------------------------------------
-- Group and process all round effects

local processDebug = false;

function ProcessAllRoundResults(allEvents)

	if ( processDebug ) then 
		DebugPrint(\== Round Res"						
570	PetBattle - Reward XP and Level	"--------------------------------------------------------------------------------
-- REWARD
function EventReward(rewards)

	local rewardedPets = {}
	for rewardIndex,reward in pairs(rewards) do
		if not (reward.wasCaptured) then
			local player = Get"	0	0				
571	PetBattle - Selected - Ability Selected Movement	"--------------------------------------------------------------------------------
-- MOVE (ability) SELECTED
function EventMoveAbilitySelected(abilityVisualID)

	-- print(\Move Selected: Ability Visual ID: \"" .. abilityVisualID)"						
573	PetBattle - Selected - Trap Selected Movement	"--------------------------------------------------------------------------------
-- MOVE (trap) SELECTED
function EventMoveTrapSelected()

	-- print(\Move Selected: Trap\"")"						
576	PetBattle - Cameras	"
--------------------------------------------------------------------------------
-- camera
battleCameraIDs =
{
	intro = 336;
	idle = 335;
}

local cameraBunny = nil
function StartCameraBunny(transitionTime)
	if ( not isObserved ) or ( not useFreelookCamera ) then
		return
	end

	local player = teams[observingPlayerIndex]

	local cameraBunnyCreate = ActorCreateData:Default()
	cameraBunnyCreate.name = \arenaCameraBunny\"""						
577	PetBattle - Intro	"
local cameraBunny

--------------------------------------------------------------------------------
function BattleIntro()

	scene:WaitTimer(0.25)
	SetCamera(1)
	StartCameraBunny(3.0)

	if (battleScene.SignalOpeningStart) then
		battleScene:SignalOpeningStart()
	end

	WaitAllPetsLoaded()


	if (useFreelookCamera) then
		scene:WaitTimer(0.5)
		SetCamera(2)
		scene:WaitTimer(2.6)
		scene:SetCamera(0, 2.0, nil, nil)
	else
		scene:WaitTimer(0.25)
		SetCamera(2)
		scene:WaitTimer(0.75)
	end
	
	if (battleScene.SignalReadyToStart) then
		battleScene:SignalReadyToStart()
	else
		battleScene:SignalOpeningComplete()
	end

	-- fade in the pets
	FadeInAllPets(initialFadeInTime)

end
"	0	0				
578	PetBattle - Arena	"
--------------------------------------------------------------------------------
-- Spawn Client Side Arena Visuals
local arenaCreateData = ActorCreateData:Default()
arenaCreateData.name = \arenaRing\"""						
579	PetBattle - Placeholder Players	"
--------------------------------------------------------------------------------
-- Placeholder opponents for cross-realm etc battles
--  - script runs in parallel and pings for a player to become valid

local placeHolderCreatureIDs =
{
	62409;	-- Lorewalker Cho
}

local needPlaceHolder = true
if not (PetBattleScene.GetActivePlayerDisplay) then
	needPlaceHolder = false
end

local placeHolderPingTime = 0.5
local placeHolderActors = { }

while (needPlaceHolder) do
	scene:WaitTimer(placeHolderPingTime)

	needPlaceHolder = false
	for playerID, player in pairs(teams) do
		if (playerID ~= PetBattlePlayerID.Weather) and (player.isNPC ~= true) then
			player.playerDisplay = battleScene:GetActivePlayerDisplay(playerID)
			if (not player.playerDisplay) then
				-- still need a placeholder
				needPlaceHolder = true

				-- create it if we haven\'t already
				local placeHolderActor = placeHolderActors[playerID]
				if (not placeHolderActor) then
					local createData = ActorCreateData:Default()
					createData.creatureID = placeHolderCreatureIDs[1] -- TODO: randomize
					createData.name = \placeHolder\"" .. playerID"						
581	Valley of the Four Winds - Stoneplow Finale - Camera - PRK	"--Wall shot
local genericFOV90 = 368
SetCameraFollowPath( genericFOV90, 0, 3421, 3422, 10)
Wait(2)

--Loon looks at wall
SendTrigger(\LoonShot1\"")"						
582	Global Functions - Actor Sound	"--
-- Sound Helper Functions
--
function Actor:WaitSoundKitComplete(soundKit)
	if not soundKit then
		return
	end
	local waitCondition = function()
		return soundKit:IsStopped()
	end
	self:WaitCondition(waitCondition)
end
"	0	0				
583	Valley of the Four Winds - Stoneplow Finale - Wall - PRK	"WaitForTrigger(\BreakWall\"")"						
584	Valley of the Four Winds - Stoneplow Finale - Loon Mai - PRK	"WaitForTrigger(\LoonShot1\"")"						
587	Valley of the Four Winds - Stoneplow Finale - Shado-Pan - PRK	"WaitForTrigger(\FarmersAssemble\"")"						
588	Valley of the Four Winds - Stoneplow Finale - Init Enemies - PRK	"-- mantid - leven
mantidLeven01 = SpawnFadedActorAtPoint( 63402, 3453, false )
mantidLeven02 = SpawnFadedActorAtPoint( 63402, 3454, false )
mantidLeven03 = SpawnFadedActorAtPoint( 63403, 3455, false )
mantidLeven04 = SpawnFadedActorAtPoint( 63402, 345"	0	0				
589	Valley of the Four Winds - Stoneplow Finale - Chen - PRK	"local kickSpell = 124002

--Fade in
WaitForTrigger(\KidsShot\"")"						
590	Valley of the Four Winds - Stoneplow Finale - Mantid (Flankers) - PRK	"WaitForTrigger(\KidsShot\"")"						
593	Brazie\'s PetBattle - Init Player	"
function InitTeam(playerID, team)

	-- Save the team
	allPlayers[playerID] = team;
	team.playerID = playerID;

	-- Spawn a Pad
	local homeTransform = HOME_LIST[playerID];
	team.pad = InitPad(homeTransform);

	-- Save the home loc
	team.home = homeTransform.position;

	-- Weather is neutral, so set it up then eject
	if (playerID == PetBattlePlayerID.Weather) then
		team.isWeather = true
print(\Weather\'s Pets: \"",#team.petDescs);"						
595	PetBattle - Victory Ceremony	"function VictoryCeremony(winnerID)
	if (winnerID == 1) or (winnerID == 2) then
		local winnerTeam = teams[winnerID]
		for petIndex, pet in pairs(winnerTeam.pets) do
			if (winnerTeam.activePet ~= petIndex) and (pet.isPad == false) and (pet.currentHealth > 0) then
				-- move backline up to celebrate
				pet.actor:Fade(1.0, backlineFadeTime)
				MoveToRadius(pet, idleRadius, pet.currentOffset)
			end
		end
		scene:WaitTimer(1.0)
	end
end"	0	0				
596	Brazie\'s PetBattle - Effect Swap	"function EffectSwap(teamId, petIndex)
	local team = GetTeamByIndex(teamId)
	if team.activePet == petIndex then
		return
	end

	local lastPet = team.pets[team.activePet]
	local nextPet = team.pets[petIndex]
	if not nextPet then
		return
	end

	-- make the player or npc point
	if (team.master) then
		team.master:PlayAnimKit(AnimKits.OneShotUpperBody, true, Animations.EmotePoint)
	end

	local nextTeam = math.fmod(teamId,2)+1;
	local opponent = allPlayers[nextTeam].pets[ allPlayers[nextTeam].activePet ]

	-- Handle the cosmetic swap
	PerformSwap( lastPet, nextPet, opponent );

	team.activePet = petIndex
end

function PerformSwap ( pet, newPet, opponent )
	local currentPetLoc = pet.actor:GetPosition();
	local currentBacklineLoc = newPet.actor:GetPosition();

	local distance = currentPetLoc:Dist(currentBacklineLoc);

	-- New guy faces the enemy
	newPet.actor:SetFacingToAbs(opponent.actor:GetPosition())

	-- If dead despawn it
	if ( pet.currentHealth <= 0 ) then 
		pet.actor:Fade(0, backlineFadeTime);

	else
		-- Swap locations
		pet.actor:ClearFacing();
		pet.actor:MoveToAbs(currentBacklineLoc, distance/pet.moveSpeed)
	end

	newPet.actor:MoveToAbs(currentPetLoc, distance/newPet.moveSpeed)

	-- If dead, fade corpse in
	if ( pet.currentHealth <= 0 ) then 
		pet.actor:Fade(backlineAlpha, backlineFadeTime)

	-- If alive wait for it to move to the end
	else
		pet.actor:WaitMovementComplete()
	end
	newPet.actor:WaitMovementComplete()


	ReturnOrResetCheck( newPet, opponent );

	-- Make all of your pets look at their teammate

	for k,v in pairs( allPlayers[pet.team].pets ) do 
		if ( k ~= allPlayers[pet.team].activePet ) then 
			v.actor:SetFacingToTarget(newPet.actor, Vector:New());
		end
	end
end "	0	0				
597	Brazie\'s PetBattle - Event Reward	"function MoveToVictoryLocation(pet)
	print(\You won! Fill me in later, Alex!!\"")"						
599	[1] Cinematic Framework	"scene:WaitCondition(waitCondition)
end

function Actor:FollowPathAtSpeed( pathID, speed )
	local path = scene:LoadPath( pathID )
	local totalDist = 0
	local currentVector = Vector:New()
	local i

	for i = 1, (#path.nodes)-1 do
		local v1 = path.nodes[i].pos
		local v2 = path.nodes[i+1].pos
		currentVector = v1 - v2 -- Vector.Sub( v1 , v2 )
		totalDist = totalDist + Vector.Magnitude(currentVector)
	end

	self:FollowPath( pathID, totalDist/speed )
end
"	41	0				
600	PetBattle - 3. Playback Turn	"--------------------------------------------------------------------------------
-- Group and process all round effects
local debugOn = false

function PlaybackAllTurns(topLevelTurnGroups)

	if (debugOn == true) then
		print(\  \"")"						
602	Brazie\'s PetBattle - Pet Movement - Core Library	"
function CalculateLocationFacingRelativeOffset(pet, location, front, left, up)
	FastLocalFacingCoordinates ( pet.actor:GetPosition(), location, Vector:New(front, left, up) );

	return FastLocalFacingCoordinates ( pet.actor:GetPosition(), location, Vector:New(front, left, up) );
end

function CalculateUnitFacingRelativeOffset(opponent, pet, front, left, up ) 
	local opponentLocation = opponent.actor:GetPosition();

	return CalculateLocationFacingRelativeOffset(opponent, pet.actor:GetPosition(), front, left, up);
end

function PerformRelativeSlide( opponent, pet, front, left, up ) 
	local newDrift = CalculateUnitFacingRelativeOffset(opponent, pet, front, left, up ) 

	local opponentDriftPoint = newDrift;
	local driftDistance = opponentDriftPoint:Dist( opponent.actor:GetPosition() )

	opponent.actor:MoveToAbs(opponentDriftPoint, driftDistance/opponent.moveSpeed );

end

function BuildKnockbackSpline(petStartPosition, petFinalPoint, duration)
	local gravity = -9.8/2; -- M / sec / sec
	local points = 10;  

	local dx = petFinalPoint.x - petStartPosition.x;
	local dy = petFinalPoint.y - petStartPosition.y;
	local xVelocity = dx / duration;  -- M / sec
	local yVelocity = dy / duration;  -- M / sec

	local zVelocity = ( gravity * duration * duration ) * -2;

	local list = {};
	local timeStep = duration / points

	for i=0, points do 
		local time = timeStep * i; 
		local x = time * xVelocity;
		local y = time * yVelocity;
		local u = gravity*time*time + zVelocity*time;
--print(\t: \"",time,\"" x: \"",x,\""u: \"",u);"						
603	Valley of the Four Winds - Stoneplow Finale - Zhu\'s Wardens - PRK	"WaitForTrigger(\TriggerParade\"")"						
608	Valley of the Four Winds - Stoneplow Finale - Night Elves - PRK	"WaitForTrigger(\TriggerParade\"")"						
611	Global Functions - Debug	"
-- Alias
Broadcast = print;
Print = print;

-- Debug stuff
--
function DEBUG_TABLE(table, depth, lookup)
	if ( not depth ) then
		depth = 0;
	end

	if ( depth > 20 ) then
		return;
	end

	local prefix = \\"";"						
614	[1] PetBattle - 2. Pre-Playback Processing	"maxTurnInstanceIDs)
	end
	
	local turnKey = turnInstanceID*maxStackDepth + stackDepth
	local effectKey = effectID*maxTurnInstanceIDs*maxStackDepth + turnKey
	return turnKey, effectKey
end

"	568	0				
620	Brazie\'s PetBattle - Selected Ability Selected Movement	"--------------------------------------------------------------------------------
-- MOVE (ability) SELECTED
function EventMoveAbilitySelected(abilityVisualID)
	-- print(\Move Selected: Ability Visual ID: \"" .. abilityVisualID)"						
623	Brazie\'s PetBattle - Constant Overrides	"-- Replace Arena Ring Size
arenaRingScale = 1.0

-- Replace Home Locations

HOME_LIST = {
	-- Weather
	[0] = Transform:New(Vector:New( 0, 0, 1), 180);
	-- Players
	[1] = Transform:New(Vector:New( -2, 0, 0), 0);
	[2] = Transform:New(Vector:New(  "	0	0				
624	Brazie\'s PetBattle - Dispatcher	"-- Responsible Object ID Tracking and Management
--
--ROID = 0xFFFF;

UNIT_ACTION_QUEUE = {
	--[ROID] = { 
	--  ROID = ROID;
	--  isProcessing = bool;
	--	commands = {
	--		{ func=function()end; args = {}; };
	--	};
	-- }
}

-- A global kill"						
626	Brazie\'s PetBattle - Dispatcher - Death and Respawn Check	"function Dispatcher_DeathAndRespawnCheck(ROID)
	local pet = ROIDTOPET( ROID )

	return DeathAndRespawnCheck(pet);
end

--
-- Returns:
--
--		nil - no change
--		\died\"" - pet just perished"						
627	Brazie\'s PetBattle - Dispatcher - Display XP	"function Dispatcher_SetXP(ROID, ...)
	local pet = ROIDTOPET( ROID )

	return SetXP(pet, ...)
end

function SetXP(pet, xp, level, dontDraw)
	local oldXP = pet.xp
	local oldLevel = pet.level
	pet.xp = xp
	pet.level = level
	if (dontDraw) then
		return
	end
	ShowXPGains(pet, xp, level, dontDraw)
end

function ShowXPGains(pet, xp, level, dontDraw)		
	local xpChange = pet.xp - oldXP
	local levelChange = pet.level - oldLevel
	if (xpChange <= 0) and (levelChange <= 0) then
		return
	end

	if (xpChange > 0) and (pet.playerID == observingPlayerIndex) then
		pet.actor:AddWorldXPGainText(xpChange)
	end

	if (levelChange > 0) then
		pet.actor:ApplyLevelUpEffect()
	end
end"	0	0				
628	Brazie\'s PetBattle - Dispatcher - Pet Owner Emote	"function Dispatcher_OwnerEmote( ROID, emote )
	local player = ROIDTOPLAYER( ROID )
	if (player and player.playerDisplay) then
		player.playerDisplay:PlayAnimKit(AnimKits.OneShotUpperBody, true, emote)
	end
end"	0	0				
630	Brazie\'s PetBattle - Dispatcher - Generic Stub Handler	"
function Dispatcher_DoFunction(result, dontWait, successEffect, failureEffect, func, ... )
	local casterCastingPet, targetPet, abilityVisualID = GetStandardData(result)


	-- If the attack misses - DODGE First!
	if ( result.failureReason and result.failureReason == PetBattleMoveFailureReason.Miss ) then
		if ( type(failureEffect) == \function\"" ) then "						
632	Brazie\'s PetBattle - Effect - GetStandardData	"function GetStandardData(result)
	local effectDebug = false;

	local casterPlayerID = result.casterPlayerID
	local casterPlayer = GetTeamByIndex(casterPlayerID)
	local casterCastingPet = casterPlayer.pets[result.casterPetSlot]

	local casterFrontPet = casterPlayer.pets[casterPlayer.activePet]

	if ( effectDebug == true ) then
		local castingTeamName = \Unknown\"";"						
633	Brazie\'s PetBattle - Dispatcher - Result Stub - Set Health	"function set_health_func(targetPet, casterPet, ...)

	local oldHealth = targetPet.currentHealth
	local newHealth = select(1,...)
	local hidden = false;

	result = SetHealth(targetPet, newHealth, hidden)

	-- This shouldn\'t be an inline response - convert to a dispatch later
	if ( result == \died\"" ) then"						
635	Brazie\'s PetBattle - Dispatcher - Result Stub - Aura Change	"function aura_change_func(targetPet, casterPet, ...)

	local auraInstanceID, turnsRemaining, cancel = ...
	local aura = targetPet.auras[auraInstanceID]
	if not aura then
		print(\ERROR: unknown aura instance ID \"" .. auraInstanceID)"						
637	Brazie\'s PetBattle - Dispatcher - Result Stub - Aura Apply	"function apply_aura_func(targetPet, casterPet, ...)
	local auraInstanceID, turnsRemaining, auraVisualID = ...
	local auraSpellVisualID 

	local auraVisual = petAbilityVisuals[auraVisualID]
	if (auraVisual) then
		auraSpellVisualID = auraVisual.spellVisualID
	end
	-- apply an aura, tracked by instance ID

print(\Applying aura to \"",targetPet.slot,\"" of \"",auraVisualID,\"" using spell visual ID: \"",auraSpellVisualID);"						
638	Brazie\'s PetBattle - Dispatcher - Result Stub - Swap 	"function swap_func(targetPet, casterPet, ...)
	swapPlayerID, newFrontPetIndex = ...
	
	local casterPlayerID = swapPlayerID
	local casterPlayer = GetTeamByIndex(swapPlayerID)
	local casterCastingPet = casterPlayer.pets[newFrontPetIndex]
	local casterFrontPet = casterPlayer.pets[casterPlayer.activePet]

	local opponentPlayer = GetTeamByIndex(3-swapPlayerID)
	local opponentFrontPet = opponentPlayer.pets[opponentPlayer.activePet]

	local casterMasterROID = GETROIDFROMPLAYERID(casterPlayerID) + ROID_TYPE_PLAYER_MASTER;
	Dispatcher_AddCommandToQueue( casterMasterROID, Dispatcher_OwnerEmote, Animations.EmotePoint )

	casterPlayer.activePet = newFrontPetIndex

	-- This could probably be dispatched
	PerformSwap( casterFrontPet, casterCastingPet, opponentFrontPet );

end"	0	0				
639	Brazie\'s PetBattle - Dispatcher - Default Effect Behaviour	"
function Dispatcher_DefaultDoEffect(ROID, effect, handlerOverrides, skipCast) 
	DefaultDoEffect(ROID, \effect\"", effect, handlerOverrides, skipCast);"						
641	Brazie\'s PetBattle - BitLib	"function bit(p)
  return 2 ^ (p - 1)  -- 1-based indexing
end

-- Typical call:  if hasbit(x, bit(3)) then ...
function hasbit(x, p)
  return x % (p + p) >= p       
end

function setbit(x, p)
  return hasbit(x, p) and x or x + p
end

function clearbit(x, p)
  return hasbit(x, p) and x - p or x
end

function bitor(x, y)
  local p = 1; 
  local z = 0; 
  local limit = x > y and x or y
  while p <= limit do
    if hasbit(x, p) or hasbit(y, p) then
      z = z + p
    end
    p = p + p
  end
  return z
end

function bitand(x, y)
  local p = 1; 
  local z = 0; 
  local limit = x > y and x or y
  while p <= limit do
    if hasbit(x, p) and hasbit(y, p) then
      z = z + p
    end
    p = p + p
  end
  return z
end"	0	0				
642	Brazie\'s PetBattle - Dispatcher - ROID	"
-- Responsible Object ID
ROID_TYPE_PLAYER_PET_SLOT_1 = 0x0001;
ROID_TYPE_PLAYER_PET_SLOT_2 = 0x0002;
ROID_TYPE_PLAYER_PET_SLOT_3 = 0x0004;
ROID_TYPE_PLAYER_MASTER		= 0x0008;
ROID_TYPE_PLAYER_PAD		= 0x0010;
ROID_TYPE_PLAYER_PAD_OBJ_1	= 0x0020;
ROID_TYPE_PLAYER_PAD_OBJ_2	= 0x0040;
ROID_TYPE_PLAYER_PAD_OBJ_3	= 0x0080;

ROID_TYPE_WEATHER			= 0x0100;

ROID_TYPE_PLAYER_1 			= 0x1000;
ROID_TYPE_PLAYER_2 			= 0x2000;


function ROIDTOPLAYER( ROID ) 
	local playerID = 0;
	if ( bitand(ROID, 0xF000) == ROID_TYPE_PLAYER_1 ) then
		playerID = 1;
	elseif ( bitand(ROID, 0xF000) == ROID_TYPE_PLAYER_2 ) then
		playerID = 2;
	else
		return nil;
	end

	return GetTeamByIndex(playerID)
end

function ROIDTOPET( ROID ) 
--print(ROID,\ p1: \"",ROID_TYPE_PLAYER_1, \"" p2: \"",ROID_TYPE_PLAYER_2)"						
643	[1] PetBattle - 3. Playback Turn	"maxStackDepth)
	end
	if (maxTurnInstanceIDs > maxTurnInstanceIDs) then
		print (\WARNING: max turn instanceIDs exceeded \"" .. maxTurnInstanceIDs)"						
645	Turn Package - Multi-Attack	"function Dispatcher_MultiAttack( ROID, isTurn, turn )
	-- Only handle \effect\"" objects"						
646	Brazie\'s PetBattle - Dispatcher - Result Stub - SetState	"function set_state_func(caster, target, result) 
	local label = \Unknown State\"";"						
647	PetBattle(fallback) - EffectSet  State	"--------------------------------------------------------------------------------
-- STATUS CHANGE
local debugStates = true
function EffectSetState(effect)
	if (not effect) then
		return
	end

	for targetIndex, target in pairs(effect.targets) do
	"						
650	Brazie\'s PetBattle - Dispatcher - Thread Bot 2	"local myROID;
local myList=nil;

while(false and not BOT_KILL_SWITCH ) do
	for k,v in pairs(UNIT_ACTION_QUEUE) do
		if ( v.isProcessing == false and #v.commands > 0 ) then 
			myROID = k;
			myList = v;
			break;
		end
	end

	if ( myROID ) then 
		UNIT_ACTION_QUEUE[myROID].isProcessing = true;
		
		while myList.commands[1] ~= nil do
			local task = myList.commands[1];
			local result = task.func(myROID, unpack(task.args));

			print(\Bot1 Result: \"",result)"						
651	Brazie\'s PetBattle - Helper Functions	"allPetsShown = true;

function GetNaturalAlpha(ROID)
	local player = ROIDTOPLAYER( ROID ) 
	local pet = ROIDTOPET( ROID ) 

	if ( pet.slot == player.activePet ) then

		if ( pet.stealthed ) then 
			return 0.5;
		else
			return 1;
		end
	elseif ( allPetsShown ) then

		if ( pet.stealthed ) then 
			return 0.5;
		else
			return 0;
		end
	end
end"	0	0				
