field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	field23	field24	field25	field26	field27	field28	field29	field30	field31	field32	field33	field34	field35	field36	field37	field38	field39	field40	field41	field42	field43	field44	field45	field46	field47	field48	field49	field50	field51	field52	field53	field54	field55	field56	field57	field58	field59	field60	field61	field62	field63	field64	field65
7692	33587214	1	0.4	0	0.3	0	7	19.29	0	0	1	4	132	132	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	17	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7693	1645250575	10	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	1.570.796	1.570.796	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7694	1107329032	2	0	0	0.7	0	7	19.29	0	0	1	4	37	38	-1	91	128	123	0	7	19.29	0	0	0	0	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7695	57358	4	1.6	0	0.6	0	7	19.29	0	0	1	4	37	38	-1	193	-1	474	0	7	19.29	0	0	1	4	37	38	39	3.141.593	1.570.796	3.141.593	-1	213	-1	-1	26	-1	-1	0	0	1	0	0	34078721	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	534043
7696	1611696143	2	0	0	-10	0	7	19.29	0	0	0	0	37	38	37	120	112	111	0	7	19.29	0	0	0.05	0.1	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	17465	0	33631744	0	0	0	0	0	0	3	0	0	14	0	0	0	0	0	0	0	0	0	0	534043
7701	33620023	3	0	0	0	0	7	19.29	0	0	-1	0	42	42	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	34	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7702	33620023	4	0	0	0	0	7	19.29	0	0	-1	0	42	42	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	34	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7703	33620023	3	1	0	1	0	7	19.29	0	0	-1	0	42	42	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	34	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7704	33620023	4	1	1	2	0	7	19.29	0	0	-1	0	42	42	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	34	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7705	33620023	5	0	0	-1	0	7	19.29	0	0	-1	0	42	42	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	34	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7706	33620023	5	0	0	1	0	7	19.29	0	0	-1	0	42	42	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	34	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7707	33620023	5	0	1	0	0	7	19.29	0	0	-1	0	42	42	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	34	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7708	33620023	5	2	0	-2	0	7	19.29	0	0	-1	0	42	42	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	34	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7709	-502265338	2	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7710	33587243	10	8	0	5	0	7	19.29	2	2	20	20	37	38	-1	91	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7711	1645250823	1	0	0	0.6	0	7	19.29	0	0	1	4	37	38	-1	102	68	123	0	7	19.29	3	3	1	1	126	126	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7712	33587215	1	2.35	0	2.7	0	7	19.29	0	0	1	4	37	38	-1	102	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7713	33587215	1	2.7	0	0.5	0	7	19.29	0	0	1	4	37	38	-1	102	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	1.570.796	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7714	171999246	5	0	0	-0.5	0	7	19.29	0	0	1	4	37	38	-1	6	6	6	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	16	-1	-1	6	-1	-1	0.2	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7715	1108379658	21	-0.25	0	0	0	7	19.29	0	0	1	4	37	38	-1	97	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	402653184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7716	134389773	13	0	0	4	0.5	7	19.29	1.2	1.2	10	10	126	126	-1	474	126	126	0	7	19.29	1.2	1.2	10	10	40	40	39	0	0	0	20	112	1	126	-1	-1	-1	1	0	1	0	0	9044289	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	534043
7717	34603010	14	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	97	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	35651588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7718	1108379658	13	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	97	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	402656256	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	534043
7719	33587209	2	0	0	-1	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	-2113929216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7721	1645250607	21	0	0	0	0	7	19.29	0	0.5	1	4	37	38	-1	102	84	120	0	7	19.29	0	3	0	1	37	40	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7722	1644201995	21	-0.2	0	0	0	7	19.29	0	1	0	4	37	38	-1	91	128	123	0	8	19.29	0	0	5	8	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7723	16384	1	0	46	-2.5	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7724	16384	1	0	-46	-2.5	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7725	16384	1	46	0	-2.5	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7726	16384	1	-46	0	-2.5	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7727	1074799106	21	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	91	128	123	0	8	19.29	0	0	5	8	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	402689280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7728	33718287	4	0	-0.5	-2	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	1.570.796	-1	-1	-1	227	-1	-1	6	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7729	1644201999	13	1.1	0	0.5	0	7	19.29	0	0	1	4	37	38	-1	25	128	484	0	7	19.29	0	0	1	4	37	38	39	0	0	0	19	-1	-1	-1	-1	-1	-1	0	0	1	0	0	34078720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7730	33587215	14	-1	0	0.5	0	7	19.29	0	0	1	4	37	38	-1	104	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7731	33587215	9	-1	-0.5	1	0	7	19.29	0	0	1	4	37	38	-1	120	37	62	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7732	1610662927	13	1	-0.3	0.8	0	7	19.29	0	0	1	4	37	38	-1	104	-1	108	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	37748740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7733	1610678295	14	-1	0	-0.25	0	7	19.29	0	0	1	4	37	38	-1	0	-1	0	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2097152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7734	1627457559	13	0	0	-3	0	7	19.29	0	0	1	4	37	38	-1	0	-1	108	0	7	2	0	0	1	4	37	38	39	0	0	0	19	-1	-1	-1	-1	-1	-1	0	0	1	13836	13834	589827	0	0	0	0	10	0	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7735	33587215	9	-1.4	-0.5	1	0	7	19.29	0	0	1	4	37	38	-1	120	37	62	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7736	33587215	9	-0.6	-0.5	1	0	7	19.29	0	0	1	4	37	38	-1	120	37	62	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7737	33587215	9	-1	-0.7	0.5	0	7	19.29	0	0	1	4	37	38	-1	120	37	62	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7738	33587215	9	-1.6	-0.7	0.5	0	7	19.29	0	0	1	4	37	38	-1	120	37	62	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7739	1108379662	13	0	0	-0.5	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7740	-2112847857	5	0	0	0.3	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	19	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7741	33587215	13	-0.3	0	0.2	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	1.570.796	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7742	1662027787	21	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	91	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7745	138444815	14	0	0	0	0	40	19.29	0	5	0	20	-1	40	132	132	132	132	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	107	-1	-1	-1	-1	-1	0.78	0	1	0	0	570985537	0	2	0	1	0	0	0	0	0	10	15	10	0	0	0	0	0	0	0	0	534043
7746	33587211	21	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	91	128	123	0	7	19.29	0	0	1	4	135	135	135	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7747	1107462413	5	0	0	0	0	20	10	0	0	1	4	17	38	-1	102	0	54	1.2	30	19.29	0	0	0	0	-1	41	-1	0	0.6981317	0	16	-1	-1	238	-1	-1	-1	0	0	1	0	0	33959104	2	2	2	2	0	0	-5	1	0	200	0	0	0	0	0	0	0	0	143	0	534043
7750	1048582	1	-0.1	0	0	0	7	19.29	0	0	1	4	37	38	126	126	126	126	0	7	19.29	0	0	1	4	37	38	39	0	15.708	0	19	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7751	138444815	14	0	0	0	0	40	19.29	0	5	0	20	-1	40	132	132	132	132	0	7	19.29	0	0	1	4	132	132	132	0	0	0	-1	107	-1	-1	-1	-1	-1	0.78	0	1	0	0	570985537	0	2	0	1	0	0	0	0	0	10	15	10	0	0	0	0	0	0	0	0	534043
7752	33554438	1	0	0	-1	0	7	19.29	0	0	1	4	37	38	474	40	40	40	0	7	19.29	0	0	1	4	37	38	39	0	1.308.997	0	19	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7753	1645250575	21	-0.25	0	-0.2	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	436207620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7754	-502233073	21	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	478	89	478	0	7	19.29	0	0	1	3	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	11280	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	534043
7756	-502233073	21	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	91	-1	478	0	7	19.29	0	0	1	3	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	11280	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	534043
7757	-502233073	21	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	91	-1	478	0	7	19.29	0	0	1	3	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	11280	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	534043
7758	-503281649	21	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	478	89	478	0	7	19.29	0	0	1	3	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	11280	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	534043
7759	34635791	21	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	91	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7760	1074855959	5	-0.5	0	0.2	0	7	19.29	0	0	1	4	37	38	-1	478	89	478	0	7	19.29	0	0	1	3	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7762	138469386	13	1.7	-1.7	0.3	0	7	19.29	0	0	1	4	37	38	-1	474	128	123	0	7	19.29	1.2	1.2	6	6	40	40	39	0	-1.570.796	0	34	112	1	111	-1	-1	-1	1	0	1	0	0	9044289	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	534043
7763	34635791	0	-1.4	-0.65	-2.2	0	7	19.29	0	0	1	4	37	38	-1	103	128	25	0	3.5	19.29	0	0	5	9	1	6	132	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7764	34635791	0	-1.4	0.65	-2.2	0	7	19.29	0	0	1	4	37	38	-1	103	128	25	0	3.5	19.29	0	0	7	12	1	6	132	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7765	34635791	0	0.3	0.25	-2.2	0	7	19.29	0	0	1	4	37	38	-1	141	128	25	0	3.5	19.29	0	0	6	8	1	6	132	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7766	34635791	0	-1.4	-0.65	-2.2	0	7	19.29	0	0	1	4	37	38	-1	103	128	25	0	7	19.29	0	0	5	9	1	6	132	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7767	34635791	0	-1.4	0.65	-2.2	0	7	19.29	0	0	1	4	37	38	-1	103	128	25	0	7	19.29	0	0	7	12	1	6	132	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7768	34635791	0	0.3	0.25	-2.2	0	7	19.29	0	0	1	4	37	38	-1	141	128	25	0	7	19.29	0	0	6	8	1	6	132	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7770	-632520693	13	0	0	0	0	10	19.29	0.75	1.5	1	3	37	38	-1	91	128	123	0	10	19.29	0.5	1	1	4	37	38	39	0	0	0	-1	226	107	158	1	1	1	0	0	1	0	0	1073742128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	534043
7771	1661995143	13	0	0	0	0	7	19.29	0.5	0	1	4	40	40	-1	484	128	123	0	7	19.29	0.7	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	13836	13834	402653184	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	534041
7772	1661995143	13	0	0	0	0	7	19.29	0.5	0	1	4	37	38	-1	484	128	123	0	7	19.29	0.7	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	13836	13834	402653184	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	534041
7773	1644219407	13	1.8	-0.5	1	0	7	19.29	0	0	1	4	37	38	-1	104	-1	108	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7774	1610678295	13	-0.5	0.7	1	0	7	19.29	0	0	1	4	37	38	-1	0	-1	0	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2097152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7775	33554432	2	0.7	0	0	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	19	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7779	1644169347	16	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	0	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	13836	13834	436207616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7780	1662028975	14	0	0	0.5	0	7	19.29	0	0	1	4	37	38	-1	484	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	13836	13834	440926213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7781	1662028975	19	0	0	0.5	0	7	19.29	0	0	1	4	37	38	-1	484	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	13836	13834	440926213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7782	33587215	4	0	0	0	1	1	19.29	10	10	0	0	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7783	269443091	4	0	0.1	0.7	0	10	0	0	0	0	0	-1	474	-1	474	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	3.141.593	-1	-1	228	227	-1	-1	-1	0	0.4	1	0	0	33554944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7784	33554433	2	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	35651584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7785	1610662927	13	1	-0.3	0.8	0	7	19.29	0	0	1	4	37	38	-1	104	-1	108	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	37748740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7786	1610678295	14	-1	0	-0.25	0	7	19.29	0	0	1	4	37	38	-1	0	-1	0	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	2097152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
7787	0	-1	5	3	0	0	7	19.29	0	0	1	4	37	38	-1	-1	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	534043
7788	0	-1	5	-3	0	0	7	19.29	0	0	1	4	37	38	-1	-1	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	534043
7789	0	16	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	100663296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7791	1048576	15	3.5	0	0	0	7	19.29	0	0	1	4	37	38	-1	-1	-1	-1	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33619968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7793	1048576	16	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	102	128	123	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	100728836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7794	1644201995	20	-1.5	0	4.85	0	7	19.29	0	0	1	4	37	38	-1	484	128	123	0	15	19.29	1	1	8	10	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7798	1081647	1	-0.3	0	-0.5	0	7	19.29	0	0.3	1	4	132	132	132	132	132	132	0	7	19.29	3	5	1	1	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7800	34636043	5	-0.1	0	0.3	0	7	19.29	0	0	1	4	37	38	-1	227	128	123	0	2	19.29	0	0	0	0	228	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
7801	32782	13	0	0	0	0	7	19.29	0	0	1	4	37	38	-1	225	-1	225	0	7	19.29	0	0	1	4	37	38	39	0	0	0	-1	-1	-1	36	-1	-1	-1	0	0	1	0	0	33554432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
