field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15
950	693	125	0	348	0	0	0	0	0	0	1	0	0	0	0
952	694	118	650	342	0	0	0	4	0	400	1	0	0	0	0
953	695	0	0	342	0	0	0	1	0	0	1	2	0	0	0
954	696	74	0	341	0	0	0	0	0	0	1	0	0	0	-1
955	697	135	0	343	0	0	0	1	0	0	1	0	0	0	-1
956	698	114	0	341	0	0	0	0	0	0	0.75	0	0	0	-1
957	698	115	0	345	2	0	0	3	0	3000	0.05	0	0	0	-1
958	698	133	0	348	2	0	0	3	0	1200	0.5	0	0	0	-1
959	698	116	0	341	2	1	0	0	0	0	1	0	0	0	-1
960	699	180	0	341	0	0	0	0	0	0	1	0	0	0	-1
961	700	45	0	348	0	0	0	0	0	0	1.11	0	0	0	0
962	701	55	0	367	0	0	0	3	0	1300	0.5	0	0	0	1
963	701	55	650	367	2	0	0	0	0	0	0.15	0	0	0	-1
964	702	69	0	341	0	0	0	1	0	0	1	4	0	0	-1
965	702	126	0	407	0	0	0	1	0	0	0	0	0	0	-1
966	702	126	0	408	0	0	0	1	0	0	0	0	0	0	-1
967	703	14	0	341	0	0	0	0	0	0	0.5	0	0	0	0
968	704	115	0	342	0	0	0	0	0	0	1	0	0	0	0
969	704	103	0	349	0	0	0	0	0	0	1	0	0	0	1
970	704	77	0	382	0	0	0	0	0	0	1	2	0	0	3
971	704	76	0	382	2	2	0	0	0	0	1	2	0	0	4
972	704	70	0	382	2	3	0	0	0	0	1	2	0	0	5
973	704	81	0	382	2	4	0	0	0	0	1	2	0	0	6
974	704	60	0	382	2	5	0	0	0	0	1	2	0	0	7
975	704	64	0	382	2	6	0	0	0	0	1	2	0	0	8
976	704	65	0	382	2	7	0	0	0	0	1	2	0	0	2
977	705	114	0	341	0	0	0	0	0	0	1	0	0	0	-1
978	705	115	0	341	2	0	0	0	0	1000	1	16	0	0	1
979	705	116	0	341	2	1	0	0	0	0	1	0	0	0	-1
980	705	0	0	341	2	2	0	0	0	1000	1	0	0	0	3
982	688	474	0	403	0	0	0	0	0	0	1	0	0	0	2
983	706	9	400	341	0	0	0	0	0	0	0	0	0	0	-1
984	707	55	500	341	0	0	0	0	0	0	0	0	0	0	-1
985	708	225	500	341	0	0	0	0	0	0	0	0	0	0	-1
986	709	114	800	342	0	0	0	0	0	100	0	0	0	0	-1
987	709	67	1000	403	0	0	0	4	1	0	0.4	32	0	0	1
988	709	54	400	404	0	0	0	4	2	100	0.1	0	0	0	2
989	710	242	0	342	0	0	0	1	0	0	1	1	0	0	-1
990	711	0	0	366	0	0	0	0	0	0	1	6	0	0	0
991	712	16	0	341	0	0	0	4	0	233	1.5	2	0	0	-1
992	712	16	350	341	2	0	0	4	1	1500	0.2	2	0	0	-1
993	712	16	650	341	2	1	0	0	0	0	1	2	0	0	-1
995	713	16	0	341	0	0	0	0	0	0	1.5	2	0	0	-1
996	714	16	0	341	0	0	0	4	0	1500	0.5	2	1	0	-1
997	715	16	875	341	0	0	0	0	0	0	1.5	2	1	0	-1
998	716	1	0	341	0	0	410	0	0	0	-1	0	0	0	-1
999	717	16	0	341	0	0	0	4	0	1000	0.25	2	2	0	-1
1000	718	16	250	341	0	0	0	0	0	0	1	2	2	0	-1
1001	719	102	0	402	0	0	0	0	0	0	1	0	0	0	-1
1002	719	102	0	402	2	0	0	1	0	0	1	0	0	0	-1
1003	720	16	0	341	0	0	0	0	0	0	1	2	1	0	-1
1004	721	132	0	367	0	0	0	1	0	0	0.05	0	0	0	-1
1005	722	115	0	346	0	0	0	1	0	0	1	0	0	0	-1
1006	722	105	0	348	0	0	0	1	0	0	1	0	0	0	-1
1011	724	61	1270	384	0	0	0	1	0	0	0	0	0	0	-1
1012	724	115	0	346	0	0	0	1	0	0	0	0	0	0	-1
1013	725	61	1270	384	0	0	0	1	0	0	0	0	0	0	-1
1014	725	81	1720	383	0	0	0	1	0	0	0	0	0	0	-1
1015	726	26	0	345	0	0	0	1	0	0	1	0	0	0	-1
1016	726	225	580	404	0	0	0	1	0	0	0	0	0	0	-1
1017	726	225	580	384	0	0	0	1	0	0	0	0	0	0	-1
1018	726	62	580	349	0	0	0	1	0	0	0	0	0	0	-1
1019	727	70	0	341	0	0	0	4	0	2000	1	0	0	0	0
1020	728	135	0	341	0	0	0	0	0	0	0.8	0	0	0	0
1021	729	200	0	366	0	0	0	0	0	300000	1	17	0	0	-1
1022	730	6	0	366	0	0	0	0	0	0	1	0	0	0	0
1023	731	193	0	342	0	0	0	0	0	0	1	0	0	0	0
1024	731	100	0	382	0	0	0	0	0	0	1	0	0	0	1
1025	732	16	0	341	0	0	0	4	0	1600	0.5	2	1	0	-1
1026	733	16	800	341	0	0	0	4	0	400	0.23	2	1	0	1
1027	733	16	900	341	2	0	0	4	1	200	-0.25	2	1	0	0
1028	734	37	60	367	0	0	0	3	0	400	1	6	1	0	0
1029	735	1	880	341	0	0	0	1	0	0	0	16	0	0	-1
1030	736	1	0	341	0	0	0	4	0	880	1	16	0	0	-1
1031	737	10	880	341	0	0	0	1	0	0	0	16	0	0	-1
1032	738	114	500	342	0	0	0	0	0	100	0	0	0	0	-1
1033	738	0	1000	403	0	0	0	4	1	0	1	32	0	0	1
1034	738	54	400	404	0	0	0	4	2	100	0.1	0	0	0	2
1035	739	118	0	367	0	0	0	4	0	3500	0.2	0	0	0	-1
1036	740	118	875	341	0	0	0	3	0	1400	0.25	16	0	0	-1
1037	741	16	0	342	0	0	0	4	0	1950	0.41	2	1	0	1
1038	741	16	800	342	2	0	0	0	0	0	1.5	2	1	0	-1
1039	742	37	0	342	0	0	0	0	0	0	-2	2	1	0	-1
1041	743	39	0	341	0	0	0	0	0	0	-1	0	0	0	-1
1043	744	19	0	341	0	0	0	4	0	1000	1	2	1	0	-1
1044	745	19	750	341	0	0	0	4	0	750	-1	2	1	0	-1
1045	746	16	1050	341	0	0	0	1	0	0	0	18	0	0	-1
1046	747	89	210	384	0	0	0	1	0	0	0	0	0	0	-1
1047	748	41	0	410	0	0	0	1	0	0	0.3	0	0	0	-1
1048	748	212	320	406	0	0	0	1	0	0	0	0	0	0	-1
1049	749	124	0	344	0	0	0	1	0	0	0.25	0	0	0	-1
1050	750	1	0	341	0	0	0	0	0	0	1	0	0	0	-1
1051	750	6	0	367	2	0	0	1	0	0	0	0	0	0	-1
1052	751	16	0	341	0	0	0	0	0	0	1	2	1	0	-1
1053	752	6	0	341	0	0	0	1	0	0	0	0	0	0	-1
1054	753	0	0	341	0	0	0	1	0	0	1	6	1	0	0
1056	755	0	1350	341	0	0	0	1	0	0	0	2	2	0	-1
1057	756	89	0	341	0	0	0	0	0	0	0.2	0	0	0	-1
1058	756	0	0	341	2	0	0	0	0	0	0.2	0	0	0	-1
1059	757	90	0	384	0	0	0	1	0	0	0.6	0	0	0	-1
1060	758	17	0	384	0	0	0	3	0	4000	0.6	6	0	0	0
1061	758	87	550	383	0	0	0	3	0	1220	0.005	36	2	0	1
1062	758	66	620	350	1	0	200	0	0	0	0	0	0	0	2
1063	758	0	0	409	0	0	0	0	0	0	1	32	0	0	-1
1065	759	502	0	348	0	0	0	1	0	0	1	0	0	0	-1
1066	760	107	0	341	0	0	0	0	0	0	0.5	0	0	0	-1
1067	761	10	0	341	0	0	0	0	0	0	1	0	0	0	-1
1068	761	1	0	341	2	0	0	0	0	0	1	0	0	0	-1
1069	761	1	3210	341	2	1	0	4	2	4000	0	0	0	0	-1
1072	761	1	3210	341	2	2	0	0	0	0	-1	0	0	0	-1
1074	761	16	0	341	2	3	0	0	0	0	1	0	0	0	-1
1075	762	90	0	403	0	0	0	0	0	0	1	0	0	0	-1
1076	763	19	0	341	0	0	0	0	0	0	4	130	0	0	1
1077	763	19	0	341	2	0	0	0	0	0	4	130	1	0	0
1078	764	215	0	341	0	0	0	1	0	0	1	0	0	0	-1
1079	765	79	650	345	0	0	0	1	0	0	0	0	0	0	-1
1080	765	14	0	348	0	0	0	1	0	0	1	0	0	0	-1
1081	766	84	0	367	0	0	0	0	0	0	1	0	0	0	-1
1082	767	14	0	348	0	0	0	0	0	0	1	0	0	0	-1
1083	765	100	0	411	0	0	0	1	0	0	1	0	0	0	-1
1084	768	58	1000	348	0	0	0	0	0	0	2	2	1	0	-1
1087	769	58	0	348	0	0	0	0	0	0	0.66	0	1	0	-1
1088	769	37	0	346	0	0	0	0	0	0	1	0	0	0	-1
1091	769	39	0	346	2	1	0	0	0	0	1	0	0	0	-1
1092	770	215	0	367	0	0	0	1	0	0	0.3	0	0	0	-1
1095	772	131	0	342	0	0	0	4	0	750	1	0	0	0	-1
1096	772	131	750	342	2	0	0	3	0	440	1	0	0	0	1
1097	773	0	0	350	0	0	0	0	0	0	1	2	0	0	-1
1098	773	0	0	350	2	0	0	1	0	0	1	2	0	0	-1
1099	774	124	0	341	0	0	0	0	0	0	1	0	0	0	-1
1100	774	125	0	341	2	0	0	0	0	0	1	0	0	0	-1
1104	776	16	0	341	0	0	0	0	0	0	1	2	2	0	-1
1105	777	224	0	341	0	0	0	4	0	500	3	0	0	0	1
1106	777	201	500	341	2	0	0	0	0	0	0.5	0	0	0	-1
1109	779	225	0	410	0	0	0	1	0	0	1	0	0	0	-1
1110	779	90	240	406	0	0	0	1	0	0	0	0	0	0	-1
1111	780	89	310	383	0	0	0	1	0	0	0	0	0	0	-1
1112	780	89	310	384	0	0	0	1	0	0	0	0	0	0	-1
1113	780	0	300	407	0	0	0	0	0	0	0	0	0	0	-1
1114	780	0	1300	408	0	0	0	0	0	0	0	0	0	0	-1
1115	781	107	0	341	0	0	0	0	30	0	9	0	0	0	0
1116	782	75	0	341	0	0	0	0	0	0	0.5	0	0	0	-1
1118	782	115	0	341	1	0	2750	0	0	0	1	0	0	0	1
1119	783	225	0	349	0	0	0	1	0	0	1.2	0	0	0	-1
1120	784	37	0	345	0	0	0	0	0	0	1	0	0	0	-1
1121	784	68	0	348	0	0	0	3	0	2000	0.5	0	0	0	-1
1123	785	121	950	341	0	0	0	0	0	0	0	0	0	0	-1
1124	786	121	950	341	0	0	0	0	0	0	1	0	0	0	-1
1125	787	121	0	341	0	0	0	0	0	0	0.75	0	0	0	-1
1126	788	99	0	344	0	0	0	3	0	500	3	0	0	0	-1
1127	788	99	1000	344	2	0	0	1	0	0	1	0	0	0	-1
1128	788	100	0	344	2	1	0	1	0	0	1	0	0	0	-1
1129	789	40	0	345	0	0	0	1	0	0	1	0	0	0	-1
1130	789	22	0	404	0	0	0	1	0	0	1	0	0	0	-1
1131	790	53	0	341	0	0	0	0	0	0	1	0	0	0	-1
1132	790	125	0	341	2	0	0	0	0	0	1	0	0	0	1
1133	791	224	0	342	0	0	0	0	0	0	0.3	0	0	0	-1
1134	792	234	0	341	0	0	0	0	0	0	1	3	1	0	-1
1135	792	463	0	341	2	0	0	0	0	0	1	1	0	0	-1
1136	792	464	0	341	2	1	0	0	0	0	1	1	0	0	-1
1137	793	19	300	341	0	0	0	4	0	2000	1.2	18	1	0	-1
1141	794	19	0	341	0	0	0	4	0	1500	0.2	2	1	0	-1
1142	794	19	300	341	2	0	0	4	1	10000	0.005	18	1	0	-1
1144	795	68	500	383	0	0	0	1	0	0	0	0	0	0	-1
1146	796	114	0	345	0	0	0	0	0	0	1	0	0	0	-1
1147	796	136	0	348	0	0	0	3	0	700	0.85	0	0	0	-1
1148	796	136	0	348	0	0	700	5	1	200	-1	0	0	0	-1
1149	796	114	1000	345	2	0	0	3	0	500	-1	0	0	0	-1
1150	797	469	0	341	0	0	0	0	0	0	1	1	0	0	-1
1151	797	470	0	341	2	0	0	1	0	0	1	1	0	0	-1
1152	798	131	0	342	0	0	0	4	0	400	1	0	0	0	-1
1153	799	16	0	341	0	0	0	0	0	0	1	2	0	0	-1
1155	801	193	0	410	0	0	0	1	0	0	1	0	0	0	-1
1156	801	74	0	406	0	0	0	3	0	2000	0.5	0	0	0	-1
1157	801	74	1000	406	2	1	0	0	0	0	0	0	0	0	-1
1160	803	201	0	341	0	0	0	0	0	0	1	0	0	0	-1
1161	803	202	0	341	2	0	0	1	0	0	1	0	0	0	-1
1162	804	16	0	341	0	0	0	4	0	150	0.8	130	2	0	-1
1163	804	16	150	341	2	0	0	0	0	0	0.15	130	2	0	-1
1164	805	16	500	348	0	0	0	0	0	0	0.5	2	2	0	-1
1165	806	94	1000	348	0	0	0	0	0	0	1	0	2	0	-1
1166	807	94	0	341	0	0	0	0	0	0	0.5	128	2	0	-1
1168	808	28	0	342	0	0	0	0	0	0	0.75	0	0	0	-1
1169	808	86	0	342	2	0	0	0	0	0	0.5	2	0	0	-1
1170	808	86	0	342	2	1	0	0	0	0	0.5	2	0	0	-1
1171	808	86	0	342	2	2	0	0	0	0	0.5	2	0	0	-1
1172	808	28	0	342	2	3	0	0	0	0	0.75	0	0	0	-1
1173	809	17	0	341	0	0	0	0	0	0	2	130	0	0	1
1174	809	17	0	341	2	0	0	0	0	0	2	130	1	0	0
1175	810	19	0	341	0	0	0	4	0	1000	0.5	2	1	0	-1
1176	811	62	0	341	0	0	0	4	0	330	-1	2	1	0	-1
1194	812	53	0	341	0	0	0	3	0	400	1	0	0	0	-1
1203	812	53	400	341	2	0	0	3	0	1200	0.5	0	0	0	-1
1204	812	53	1000	341	2	1	0	3	0	1200	-0.5	0	0	0	1
1206	800	54	0	342	0	0	0	0	0	0	1	0	0	0	0
1207	814	41	0	346	0	0	0	0	0	0	1	0	0	0	0
1208	814	41	0	349	0	0	0	0	0	0	1	0	0	0	1
1209	815	124	0	341	0	0	0	1	0	0	2	0	0	0	0
1210	816	16	0	341	0	0	0	4	0	1500	0.125	2	2	0	-1
1212	817	37	0	341	0	0	0	0	0	0	2	0	0	0	-1
1213	817	39	0	341	1	0	0	0	0	0	2	0	0	0	-1
1214	818	16	0	341	0	0	0	4	0	1500	0.33	2	0	0	-1
1215	819	16	500	341	0	0	0	0	0	0	1	2	0	0	-1
1218	821	1	0	342	0	0	0	0	0	0	-1.4	0	0	0	-1
1219	822	126	0	367	0	0	0	1	0	0	0.5	0	0	0	-1
1220	823	104	0	342	0	0	0	0	0	0	1	0	0	0	0
1221	823	27	0	348	0	0	0	0	0	0	0.5	0	0	0	1
1222	823	60	0	409	0	0	0	0	0	0	1	0	0	0	2
1223	824	140	0	342	0	0	0	0	0	0	1	0	0	0	-1
1224	824	141	0	342	2	0	0	0	0	0	1	0	0	0	1
1225	824	105	700	414	2	0	0	0	0	0	1	16	0	0	-1
1226	824	105	1000	414	2	2	0	0	0	0	0	16	0	0	-1
1227	825	105	0	414	0	0	0	0	0	0	1	16	0	0	-1
1228	825	109	1000	414	2	0	0	0	0	0	0	16	0	0	1
1236	828	118	0	664	0	0	0	4	0	1000	0.33	0	0	0	-1
1237	829	118	330	664	0	0	0	0	0	0	1	0	0	0	-1
1238	830	0	0	342	0	0	0	0	0	0	2	0	0	0	0
1239	831	74	1250	367	0	0	0	4	0	1300	0.5	0	0	0	0
1241	832	57	0	342	0	0	0	3	0	650	1	0	0	0	1
1242	832	57	650	342	2	0	0	3	0	650	-1	0	0	0	0
1243	833	217	0	367	0	0	0	0	0	0	0.5	0	0	0	0
1244	834	32	0	342	0	0	0	3	0	1500	0.5	0	0	0	1
1245	834	32	1500	342	2	0	0	3	0	200	0	0	0	0	-1
1246	835	97	0	341	0	0	0	1	0	0	1	0	0	0	-1
1247	836	0	0	341	0	0	0	0	0	0	0.5	130	2	0	-1
1248	837	0	1000	348	0	0	0	0	0	0	1	2	2	0	-1
1249	838	213	0	341	0	0	0	4	0	1000	-0.5	128	1	0	-1
1250	839	213	600	341	0	0	0	0	0	0	-1	0	1	0	-1
1251	840	16	0	341	0	0	0	4	0	2000	0.25	2	0	0	-1
1252	841	16	500	341	0	0	0	0	0	1000	1	2	0	0	-1
1253	842	131	300	348	0	0	0	1	0	0	0.002	0	0	0	-1
1254	842	44	200	345	0	0	0	1	0	0	0.002	0	0	0	-1
1255	843	17	0	341	0	0	0	4	0	1000	0.5	2	0	0	-1
1256	844	17	500	341	0	0	0	0	0	0	0.75	0	0	0	-1
1257	845	18	0	341	0	0	0	4	0	1000	-0.5	2	1	0	-1
1258	846	18	500	341	0	0	0	0	0	0	-1	2	1	0	-1
1259	847	1	0	367	0	0	0	0	0	0	0.85	0	0	0	-1
1260	847	1	3210	367	2	0	0	4	1	2000	0	0	0	0	-1
1264	848	1	0	341	0	0	0	0	0	0	-1.2	0	0	0	-1
1265	849	229	0	343	0	0	0	0	0	0	1	1	0	0	0
1266	850	16	0	342	0	0	0	0	0	0	1.5	0	0	0	-1
1267	850	16	0	342	2	0	0	0	0	0	1.5	0	0	0	-1
1268	850	16	0	342	2	1	0	0	0	0	1.5	0	0	0	-1
1269	850	16	0	342	2	2	0	0	0	0	2	0	0	0	-1
1270	850	16	0	342	2	3	0	0	0	0	2	0	0	0	-1
1271	851	74	500	342	0	0	0	3	0	500	0.1	0	0	0	0
1272	852	74	2530	342	0	0	0	3	0	640	0.5	0	0	0	0
1273	853	74	4000	341	0	0	0	1	0	0	0	3	1	0	-1
1274	854	149	0	341	0	0	0	1	0	0	1	0	0	0	-1
1276	855	455	0	341	0	0	0	1	0	0	0	1	0	0	-1
1277	855	411	450	411	0	0	0	1	0	0	0	1	0	0	-1
1278	856	82	600	383	0	0	0	1	0	0	0	0	0	0	-1
1279	857	82	100	383	0	0	0	1	0	0	0	0	0	0	-1
1280	858	16	0	341	0	0	0	4	0	1250	0.4	2	1	0	-1
1281	858	16	500	341	2	0	0	0	0	100	0.8	18	1	0	-1
1282	859	16	0	342	0	0	0	0	0	0	1	2	2	0	-1
1285	860	16	0	342	0	0	0	0	0	0	1	2	0	0	-1
1286	861	84	2780	342	0	0	0	0	0	0	0	0	0	0	-1
1287	862	125	0	348	0	0	0	1	0	0	1	0	0	0	-1
1288	862	193	0	347	0	0	0	0	0	0	1	0	0	0	-1
1289	863	54	0	348	0	0	0	1	0	0	1	0	0	0	-1
1290	863	193	0	347	0	0	0	0	0	0	1	0	0	0	-1
1291	864	9	0	342	0	0	0	0	0	0	0.1	0	0	0	0
1292	865	132	0	342	0	0	0	1	0	0	1	0	0	0	-1
1293	866	131	0	341	0	0	0	0	0	0	-1	0	0	0	-1
1294	866	41	0	342	0	0	0	0	0	4000	1	0	0	0	-1
1295	867	14	0	349	0	0	0	1	0	0	0.2	0	0	0	-1
1296	867	0	0	384	0	0	0	1	0	0	0.2	0	0	0	-1
1297	867	100	0	383	0	0	0	1	0	0	0.2	0	0	0	-1
1298	868	14	0	349	0	0	0	1	0	0	1	0	0	0	-1
1299	868	4	0	346	0	0	0	1	0	0	1	0	0	0	-1
1300	869	61	1870	349	0	0	0	1	0	0	0	0	0	0	-1
1301	870	84	800	349	0	0	0	1	0	0	0	0	0	0	-1
1302	871	125	870	349	0	0	0	1	0	0	0	0	0	0	-1
1303	872	15	800	349	0	0	0	1	0	0	0	0	0	0	-1
1304	873	54	500	349	0	0	0	1	0	0	0	0	0	0	-1
1305	874	130	0	341	0	0	0	1	0	0	1.5	0	0	0	-1
1306	875	5	0	366	0	0	0	0	0	0	1	0	0	0	0
1307	876	32	0	341	0	0	0	0	0	0	0.5	0	0	0	-1
1308	877	14	0	349	0	0	0	1	0	0	0.2	0	0	0	-1
1309	877	0	0	346	0	0	0	1	0	0	0.1	0	0	0	-1
1310	877	124	0	383	0	0	0	1	0	0	0	0	0	0	-1
1311	877	0	0	384	0	0	0	1	0	0	0	0	0	0	-1
1312	878	17	0	341	0	0	0	0	0	0	0.125	2	0	0	-1
1313	879	17	500	341	0	0	0	0	0	0	1	2	0	0	-1
1314	880	125	0	342	0	0	0	0	2	0	1.2	0	0	0	1
1315	880	54	0	342	2	0	0	0	0	0	1	0	0	0	-1
1316	881	10	0	341	0	0	0	0	0	0	1	0	0	0	0
1317	882	112	0	341	0	0	0	0	0	0	0.5	0	0	0	-1
1318	883	37	0	341	0	0	0	0	0	0	1	0	0	0	1
1319	883	38	0	341	2	0	0	0	0	0	1	0	0	0	1
1320	884	181	0	367	0	0	0	0	0	0	0.7	0	0	0	-1
1321	885	181	0	367	0	0	0	0	0	0	1	0	0	0	-1
1322	886	16	0	342	0	0	0	0	0	0	1	2	1	0	-1
1323	887	6	0	367	0	0	0	1	0	0	1	22	0	0	-1
1324	888	68	0	341	0	0	0	0	0	0	1	0	0	0	-1
1325	888	0	0	341	2	0	0	0	0	0	1	2	3	0	-1
1326	888	0	0	341	2	1	0	0	0	0	1	2	2	0	-1
1327	888	80	0	341	2	2	0	0	0	0	1	0	2	0	0
1332	890	81	0	341	0	0	0	0	0	0	1	0	0	0	-1
1333	890	0	0	341	2	0	0	0	0	0	1	0	0	0	-1
1334	890	68	0	342	2	1	0	0	0	0	1	0	0	0	0
1335	891	64	0	341	0	0	0	0	0	0	1	0	0	0	-1
1336	891	186	0	341	2	0	0	0	0	0	1	0	2	0	0
1337	891	0	0	342	2	1	0	0	0	0	1	0	0	0	0
1338	892	69	4850	345	0	0	0	4	0	1100	1.25	2	1	0	0
1341	892	73	300	348	0	0	0	0	0	0	0.8	0	0	0	1
1342	893	96	0	341	0	0	0	0	0	0	-0.8	0	0	0	-1
1343	894	16	650	341	0	0	0	4	0	500	0.66	2	0	0	0
1345	895	16	0	348	0	0	0	0	0	0	0.75	0	0	0	-1
1346	896	16	1000	341	0	0	0	0	0	0	1	2	0	0	-1
1347	897	5	0	348	0	0	0	1	0	0	1	0	0	0	-1
1349	898	113	0	342	0	0	0	1	0	0	1	0	0	0	-1
1350	898	113	670	342	0	0	670	1	0	0	0	0	0	0	-1
1351	899	53	0	341	0	0	0	3	0	1500	0.3	0	0	0	-1
1352	899	54	0	341	2	0	0	3	0	1500	0.3	0	0	0	0
1353	900	0	1150	341	0	0	0	3	0	1000	0.5	2	2	0	0
1354	901	18	0	341	0	0	0	3	0	1000	0.33	2	1	0	-1
1355	901	18	330	341	2	0	0	3	0	1000	0	2	1	0	-1
1356	902	18	330	341	0	0	0	0	0	0	1	2	1	0	-1
1357	903	48	0	342	0	0	0	1	0	0	1	0	0	0	0
1358	904	126	0	341	0	0	0	1	0	0	0.2	0	0	0	-1
1361	906	137	0	341	0	0	0	1	0	0	1.5	0	0	0	-1
1362	907	42	0	341	0	0	0	1	0	0	0.25	0	0	0	-1
1363	908	193	0	345	0	0	0	1	0	0	0.8	0	0	0	-1
1364	908	52	0	348	0	0	0	1	0	0	0.2	0	0	0	-1
1365	909	114	0	341	0	0	0	0	0	0	0.3	0	0	0	-1
1366	909	115	0	342	2	0	0	3	0	3500	1	0	0	0	-1
1367	909	74	0	348	1	1	0	3	0	5000	0.75	0	0	0	-1
1368	910	32	0	341	0	0	0	4	0	720	0.8	0	1	0	-1
1369	910	32	600	341	2	0	0	0	0	0	0.4	0	1	0	-1
1370	910	32	1000	341	2	1	0	3	0	500	-0.4	0	1	0	-1
1372	911	101	1000	345	0	0	0	0	0	0	0	0	0	0	0
1373	911	101	800	350	0	0	0	0	0	0	0	2	1	0	1
1374	912	193	0	346	0	0	0	1	0	0	1	0	0	0	-1
1375	912	212	370	406	0	0	0	1	0	0	0	0	0	0	-1
1376	913	100	0	341	0	0	0	1	0	0	1	0	0	0	-1
1377	914	181	0	341	0	0	0	0	0	0	-0.5	0	0	0	-1
1378	914	181	0	341	2	0	0	0	0	0	0.5	0	0	0	-1
1379	915	114	0	346	0	0	0	0	0	0	1	0	0	0	-1
1380	915	48	0	349	0	0	1	1	0	0	0.2	0	0	0	-1
1383	916	55	0	406	0	0	0	0	0	0	1	0	0	0	-1
1384	916	91	0	410	0	0	0	0	0	0	1	0	0	0	-1
1385	915	115	0	346	2	0	0	3	0	2000	1	0	0	0	-1
1386	915	48	0	349	1	2	1	1	0	0	0.2	0	0	0	-1
1387	915	116	0	346	2	2	0	0	0	0	1	0	0	0	-1
1388	915	48	0	349	1	4	1	1	0	0	0.2	0	0	0	-1
1389	917	17	400	341	0	0	0	1	0	0	0	2	0	0	-1
1390	918	19	450	341	0	0	0	1	0	0	0	2	1	0	-1
1391	919	115	0	347	0	0	0	1	0	0	1	0	0	0	-1
1392	919	26	0	349	0	0	100	1	0	0	1	0	0	0	-1
1393	920	476	0	403	0	0	0	1	0	0	1	0	0	0	-1
1394	921	37	250	412	0	0	0	0	0	0	0	0	0	0	-1
1395	921	37	300	413	0	0	0	0	0	0	0	0	0	0	-1
1396	922	40	0	346	0	0	0	1	0	0	1	0	0	0	-1
1397	922	0	370	406	0	0	0	1	0	0	0	0	0	0	-1
1398	923	5	0	367	0	0	0	0	0	0	2	0	0	0	-1
1399	924	41	0	410	0	0	0	0	0	0	1	1	0	0	0
1400	925	118	0	341	0	0	0	4	0	1000	-0.33	0	1	0	-1
1401	926	118	660	341	0	0	0	4	0	1000	-1	0	1	0	-1
1402	927	1	0	341	0	0	0	0	0	0	2	0	0	0	1
1403	928	1	0	366	0	0	0	0	0	0	-2	0	0	0	-1
1404	929	26	300	365	0	0	0	4	0	1000	0.25	0	0	0	-1
1405	929	55	0	513	0	0	0	1	0	0	0.05	0	0	0	1
1408	927	6	0	341	2	0	0	0	0	0	1	0	0	0	1
1409	931	26	0	348	0	0	0	1	0	0	1	0	0	0	-1
1410	929	26	550	342	2	0	0	4	2	1000	-0.25	0	0	0	0
1411	932	53	600	345	0	0	0	0	0	0	0	16	0	0	-1
1412	933	121	1000	341	0	0	0	0	0	0	1	0	0	0	-1
1413	934	181	0	341	0	0	0	4	0	750	1	0	0	0	-1
1414	934	181	200	341	2	0	0	4	1	750	1	0	0	0	2
1415	934	181	200	341	2	1	0	4	2	750	1	0	0	0	3
1416	934	181	200	341	2	2	0	4	3	750	1	0	0	0	4
1417	934	181	200	341	2	3	0	4	4	750	1	0	0	0	5
1418	934	181	200	341	2	4	0	4	5	750	1	0	0	0	6
1419	934	181	200	341	2	5	0	4	6	750	1	0	0	0	-1
1420	935	99	0	341	0	0	0	0	0	0	1	2	0	0	-1
1421	935	100	0	341	2	0	0	0	0	0	1	2	0	0	-1
1422	935	100	0	341	2	1	0	0	0	0	1	2	0	0	-1
1423	936	55	0	341	0	0	0	0	0	0	1	0	0	0	-1
1424	935	100	0	341	2	2	0	0	0	0	1	2	1	0	1
1425	937	125	0	341	0	0	0	1	0	0	2.5	0	0	0	-1
1426	938	0	0	347	0	0	0	0	0	0	1	0	0	0	-1
1427	938	120	0	347	2	0	0	1	0	0	1	0	0	0	-1
1428	938	113	500	348	0	0	0	1	0	0	0	0	0	0	-1
1429	939	0	0	347	0	0	0	2	0	1000	1	0	0	0	-1
1430	939	0	0	347	2	0	0	1	0	0	1	0	0	0	-1
1431	939	67	2100	349	0	0	0	4	2	600	1	0	0	0	-1
1432	939	67	0	349	2	2	0	4	3	650	1	0	0	0	2
1433	940	0	0	347	0	0	0	1	0	0	1	0	0	0	-1
1434	940	0	0	347	2	0	0	1	0	0	1	0	0	0	-1
1435	940	0	0	350	0	0	0	1	0	0	1	0	0	0	-1
1438	940	53	0	384	0	0	0	0	0	0	1	0	0	0	-1
1439	940	44	0	384	2	3	0	0	0	0	1	0	0	0	-1
1440	940	44	0	384	2	4	0	0	0	0	1	0	0	0	-1
1441	941	110	0	403	0	0	0	0	0	0	1	0	0	0	-1
1442	942	0	0	344	0	0	0	0	0	0	0.4	0	0	0	0
1443	943	0	0	344	0	0	0	1	0	0	0.6	0	0	0	-1
1444	944	0	0	344	0	0	0	1	0	0	0.8	0	0	0	-1
1445	945	120	0	347	0	0	0	5	1	1000	1	0	0	0	-1
1446	945	88	450	383	0	0	0	4	1	500	0.4	0	0	0	1
1449	946	662	0	341	0	0	0	0	0	0	1	0	0	0	-1
1451	947	0	0	341	0	0	0	1	0	0	1	2	0	0	-1
